# t x y z vx vy vz E_kin E_pot E_tot
0.00000 -1.00000e+00 0.00000e+00 0.00000e+00 1.00000e+04 1.00000e+04 0.00000e+00 9.10938e-23 -1.01821e-16 -1.01821e-16
0.00000 -9.99962e-01 9.99998e-06 -1.67280e-21 6.58883e+04 9.99993e+03 -4.09168e-12 2.02286e-21 -1.01823e-16 -1.01821e-16
0.00000 -9.99868e-01 1.99998e-05 -7.48772e-21 1.21778e+05 9.99972e+03 -6.78883e-12 6.80015e-21 -1.01828e-16 -1.01821e-16
0.00000 -9.99718e-01 2.99994e-05 -1.47501e-20 1.77672e+05 9.99937e+03 -5.45856e-12 1.44235e-20 -1.01835e-16 -1.01821e-16
0.00000 -9.99513e-01 3.99985e-05 -2.06569e-20 2.33571e+05 9.99888e+03 -5.59037e-12 2.48937e-20 -1.01846e-16 -1.01821e-16
0.00000 -9.99251e-01 4.99971e-05 -2.69576e-20 2.89476e+05 9.99825e+03 -6.60169e-12 3.82121e-20 -1.01859e-16 -1.01821e-16
0.00000 -9.98934e-01 5.99950e-05 -3.43574e-20 3.45389e+05 9.99749e+03 -7.50725e-12 5.43800e-20 -1.01875e-16 -1.01821e-16
0.00000 -9.98561e-01 6.99920e-05 -4.36189e-20 4.01311e+05 9.99658e+03 -9.51200e-12 7.33992e-20 -1.01894e-16 -1.01821e-16
0.00000 -9.98131e-01 7.99881e-05 -5.46930e-20 4.57245e+05 9.99554e+03 -1.23833e-11 9.52719e-20 -1.01916e-16 -1.01821e-16
0.00000 -9.97646e-01 8.99830e-05 -6.80331e-20 5.13192e+05 9.99435e+03 -1.33051e-11 1.20001e-19 -1.01941e-16 -1.01821e-16
0.00000 -9.97105e-01 9.99767e-05 -8.20973e-20 5.69153e+05 9.99303e+03 -1.45987e-11 1.47588e-19 -1.01968e-16 -1.01821e-16
0.00000 -9.96508e-01 1.09969e-04 -9.68286e-20 6.25130e+05 9.99157e+03 -1.41659e-11 1.78037e-19 -1.01999e-16 -1.01821e-16
0.00000 -9.95855e-01 1.19960e-04 -1.10802e-19 6.81124e+05 9.98997e+03 -1.47452e-11 2.11351e-19 -1.02032e-16 -1.01821e-16
0.00000 -9.95146e-01 1.29949e-04 -1.26979e-19 7.37137e+05 9.98824e+03 -1.72495e-11 2.47534e-19 -1.02068e-16 -1.01821e-16
0.00000 -9.94380e-01 1.39936e-04 -1.45407e-19 7.93171e+05 9.98637e+03 -1.83398e-11 2.86590e-19 -1.02107e-16 -1.01821e-16
0.00000 -9.93559e-01 1.49922e-04 -1.66225e-19 8.49226e+05 9.98436e+03 -2.31971e-11 3.28523e-19 -1.02149e-16 -1.01821e-16
0.00000 -9.92682e-01 1.59905e-04 -1.88000e-19 9.05305e+05 9.98222e+03 -2.12761e-11 3.73338e-19 -1.02194e-16 -1.01821e-16
0.00000 -9.91749e-01 1.69886e-04 -2.10226e-19 9.61409e+05 9.97995e+03 -2.19644e-11 4.21039e-19 -1.02242e-16 -1.01821e-16
0.00000 -9.90759e-01 1.79865e-04 -2.33074e-19 1.01754e+06 9.97753e+03 -2.38113e-11 4.71632e-19 -1.02292e-16 -1.01821e-16
0.00000 -9.89713e-01 1.89841e-04 -2.56190e-19 1.07370e+06 9.97499e+03 -2.13322e-11 5.25123e-19 -1.02346e-16 -1.01821e-16
0.00000 -9.88612e-01 1.99815e-04 -2.78632e-19 1.12989e+06 9.97231e+03 -2.29400e-11 5.81517e-19 -1.02402e-16 -1.01821e-16
