# t x y z vx vy vz E_kin E_pot E_tot
0.00000 -1.00000e+00 2.00000e+00 -1.00000e+00 1.00000e+04 0.00000e+00 0.00000e+00 4.55469e-23 -1.49759e-15 -1.49759e-15
0.00000 -9.99815e-01 1.99973e+00 -9.99865e-01 3.60295e+05 -5.39009e+05 2.69505e+05 2.24536e-19 -1.49781e-15 -1.49759e-15
0.00000 -9.99279e-01 1.99892e+00 -9.99461e-01 7.10821e+05 -1.07834e+06 5.39169e+05 8.92165e-19 -1.49848e-15 -1.49759e-15
0.00000 -9.98393e-01 1.99757e+00 -9.98787e-01 1.06181e+06 -1.61830e+06 8.09151e+05 2.00455e-18 -1.49959e-15 -1.49759e-15
0.00000 -9.97155e-01 1.99568e+00 -9.97842e-01 1.41350e+06 -2.15922e+06 1.07961e+06 3.56439e-18 -1.50115e-15 -1.49759e-15
0.00000 -9.95566e-01 1.99325e+00 -9.96627e-01 1.76612e+06 -2.70141e+06 1.35071e+06 5.57549e-18 -1.50316e-15 -1.49759e-15
0.00000 -9.93623e-01 1.99028e+00 -9.95141e-01 2.11991e+06 -3.24521e+06 1.62260e+06 8.04278e-18 -1.50563e-15 -1.49759e-15
0.00000 -9.91325e-01 1.98676e+00 -9.93382e-01 2.47513e+06 -3.79093e+06 1.89547e+06 1.09724e-17 -1.50856e-15 -1.49759e-15
0.00000 -9.88672e-01 1.98270e+00 -9.91349e-01 2.83201e+06 -4.33893e+06 2.16946e+06 1.43715e-17 -1.51196e-15 -1.49759e-15
0.00000 -9.85661e-01 1.97808e+00 -9.89042e-01 3.19082e+06 -4.88954e+06 2.44477e+06 1.82488e-17 -1.51583e-15 -1.49759e-15
0.00000 -9.82290e-01 1.97292e+00 -9.86459e-01 3.55182e+06 -5.44312e+06 2.72156e+06 2.26140e-17 -1.52020e-15 -1.49759e-15
0.00000 -9.78556e-01 1.96720e+00 -9.83599e-01 3.91528e+06 -6.00003e+06 3.00002e+06 2.74784e-17 -1.52506e-15 -1.49759e-15
0.00000 -9.74458e-01 1.96092e+00 -9.80459e-01 4.28150e+06 -6.56065e+06 3.28033e+06 3.28548e-17 -1.53044e-15 -1.49759e-15
0.00000 -9.69992e-01 1.95407e+00 -9.77037e-01 4.65075e+06 -7.12537e+06 3.56269e+06 3.87573e-17 -1.53634e-15 -1.49759e-15
0.00000 -9.65156e-01 1.94667e+00 -9.73333e-01 5.02336e+06 -7.69459e+06 3.84730e+06 4.52019e-17 -1.54279e-15 -1.49759e-15
0.00000 -9.59944e-01 1.93868e+00 -9.69342e-01 5.39964e+06 -8.26874e+06 4.13437e+06 5.22064e-17 -1.54979e-15 -1.49759e-15
0.00000 -9.54355e-01 1.93013e+00 -9.65063e-01 5.77993e+06 -8.84824e+06 4.42412e+06 5.97903e-17 -1.55738e-15 -1.49759e-15
0.00000 -9.48383e-01 1.92099e+00 -9.60493e-01 6.16460e+06 -9.43357e+06 4.71678e+06 6.79753e-17 -1.56556e-15 -1.49759e-15
0.00000 -9.42024e-01 1.91126e+00 -9.55628e-01 6.55401e+06 -1.00252e+07 5.01260e+06 7.67856e-17 -1.57437e-15 -1.49759e-15
0.00000 -9.35273e-01 1.90093e+00 -9.50467e-01 6.94857e+06 -1.06236e+07 5.31182e+06 8.62475e-17 -1.58383e-15 -1.49759e-15
0.00000 -9.28125e-01 1.89001e+00 -9.45004e-01 7.34872e+06 -1.12294e+07 5.61471e+06 9.63904e-17 -1.59398e-15 -1.49759e-15
0.00000 -9.20574e-01 1.87847e+00 -9.39236e-01 7.75489e+06 -1.18431e+07 5.92157e+06 1.07246e-16 -1.60483e-15 -1.49759e-15
0.00000 -9.12613e-01 1.86632e+00 -9.33159e-01 8.16760e+06 -1.24654e+07 6.23268e+06 1.18851e-16 -1.61644e-15 -1.49759e-15
0.00000 -9.04236e-01 1.85354e+00 -9.26769e-01 8.58735e+06 -1.30968e+07 6.54838e+06 1.31243e-16 -1.62883e-15 -1.49759e-15
0.00000 -8.95436e-01 1.84012e+00 -9.20061e-01 9.01473e+06 -1.37380e+07 6.86899e+06 1.44466e-16 -1.64205e-15 -1.49759e-15
0.00000 -8.86204e-01 1.82606e+00 -9.13029e-01 9.45034e+06 -1.43898e+07 7.19490e+06 1.58568e-16 -1.65615e-15 -1.49759e-15
0.00000 -8.76532e-01 1.81134e+00 -9.05669e-01 9.89485e+06 -1.50530e+07 7.52650e+06 1.73602e-16 -1.67119e-15 -1.49759e-15
0.00000 -8.66411e-01 1.79595e+00 -8.97974e-01 1.03490e+07 -1.57284e+07 7.86420e+06 1.89625e-16 -1.68721e-15 -1.49759e-15
0.00000 -8.55831e-01 1.77988e+00 -8.89938e-01 1.08136e+07 -1.64169e+07 8.20846e+06 2.06704e-16 -1.70429e-15 -1.49759e-15
0.00000 -8.44780e-01 1.76311e+00 -8.81555e-01 1.12895e+07 -1.71196e+07 8.55978e+06 2.24911e-16 -1.72250e-15 -1.49759e-15
0.00000 -8.33248e-01 1.74563e+00 -8.72816e-01 1.17776e+07 -1.78374e+07 8.91871e+06 2.44327e-16 -1.74191e-15 -1.49759e-15
0.00000 -8.21221e-01 1.72743e+00 -8.63715e-01 1.22791e+07 -1.85716e+07 9.28581e+06 2.65041e-16 -1.76263e-15 -1.49759e-15
0.00000 -8.08685e-01 1.70848e+00 -8.54242e-01 1.27951e+07 -1.93235e+07 9.66173e+06 2.87155e-16 -1.78474e-15 -1.49759e-15
0.00000 -7.95625e-01 1.68878e+00 -8.44388e-01 1.33269e+07 -2.00944e+07 1.00472e+07 3.10783e-16 -1.80837e-15 -1.49759e-15
0.00000 -7.82025e-01 1.66829e+00 -8.34144e-01 1.38761e+07 -2.08858e+07 1.04429e+07 3.36053e-16 -1.83364e-15 -1.49759e-15
0.00000 -7.67867e-01 1.64700e+00 -8.23498e-01 1.44442e+07 -2.16996e+07 1.08498e+07 3.63112e-16 -1.86070e-15 -1.49759e-15
0.00000 -7.53130e-01 1.62488e+00 -8.12440e-01 1.50333e+07 -2.25375e+07 1.12688e+07 3.92125e-16 -1.88971e-15 -1.49759e-15
0.00000 -7.37793e-01 1.60191e+00 -8.00957e-01 1.56454e+07 -2.34017e+07 1.17008e+07 4.23280e-16 -1.92087e-15 -1.49759e-15
0.00000 -7.21831e-01 1.57807e+00 -7.89034e-01 1.62831e+07 -2.42945e+07 1.21472e+07 4.56796e-16 -1.95438e-15 -1.49759e-15
0.00000 -7.05217e-01 1.55331e+00 -7.76657e-01 1.69491e+07 -2.52184e+07 1.26092e+07 4.92924e-16 -1.99051e-15 -1.49759e-15
0.00000 -6.87922e-01 1.52762e+00 -7.63810e-01 1.76469e+07 -2.61765e+07 1.30883e+07 5.31953e-16 -2.02954e-15 -1.49759e-15
0.00000 -6.69911e-01 1.50095e+00 -7.50474e-01 1.83802e+07 -2.71721e+07 1.35860e+07 5.74225e-16 -2.07181e-15 -1.49759e-15
0.00000 -6.51148e-01 1.47326e+00 -7.36631e-01 1.91538e+07 -2.82088e+07 1.41044e+07 6.20139e-16 -2.11773e-15 -1.49759e-15
0.00000 -6.31589e-01 1.44452e+00 -7.22258e-01 1.99730e+07 -2.92911e+07 1.46455e+07 6.70169e-16 -2.16775e-15 -1.49759e-15
0.00000 -6.11184e-01 1.41466e+00 -7.07331e-01 2.08446e+07 -3.04237e+07 1.52119e+07 7.24880e-16 -2.22247e-15 -1.49759e-15
0.00000 -5.89879e-01 1.38365e+00 -6.91825e-01 2.17765e+07 -3.16124e+07 1.58062e+07 7.84955e-16 -2.28254e-15 -1.49759e-15
0.00000 -5.67608e-01 1.35142e+00 -6.75708e-01 2.27788e+07 -3.28636e+07 1.64318e+07 8.51223e-16 -2.34881e-15 -1.49759e-15
0.00000 -5.44294e-01 1.31790e+00 -6.58949e-01 2.38638e+07 -3.41848e+07 1.70924e+07 9.24707e-16 -2.42229e-15 -1.49759e-15
0.00000 -5.19848e-01 1.28302e+00 -6.41511e-01 2.50474e+07 -3.55846e+07 1.77923e+07 1.00668e-15 -2.50427e-15 -1.49759e-15
0.00000 -4.94160e-01 1.24670e+00 -6.23350e-01 2.63502e+07 -3.70730e+07 1.85365e+07 1.09875e-15 -2.59633e-15 -1.49759e-15
0.00000 -4.67098e-01 1.20884e+00 -6.04421e-01 2.77996e+07 -3.86612e+07 1.93306e+07 1.20297e-15 -2.70056e-15 -1.49759e-15
0.00000 -4.38500e-01 1.16934e+00 -5.84670e-01 2.94324e+07 -4.03615e+07 2.01807e+07 1.32204e-15 -2.81962e-15 -1.49759e-15
0.00000 -4.08156e-01 1.12808e+00 -5.64039e-01 3.13004e+07 -4.21863e+07 2.10931e+07 1.45947e-15 -2.95705e-15 -1.49758e-15
0.00000 -3.75796e-01 1.08492e+00 -5.42461e-01 3.34775e+07 -4.41453e+07 2.20727e+07 1.61999e-15 -3.11758e-15 -1.49758e-15
0.00000 -3.41062e-01 1.03974e+00 -5.19871e-01 3.60738e+07 -4.62382e+07 2.31191e+07 1.80993e-15 -3.30752e-15 -1.49758e-15
0.00000 -3.03455e-01 9.92411e-01 -4.96206e-01 3.92564e+07 -4.84337e+07 2.42168e+07 2.03747e-15 -3.53505e-15 -1.49759e-15
0.00000 -2.62270e-01 9.42877e-01 -4.71438e-01 4.32788e+07 -5.06139e+07 2.53069e+07 2.31162e-15 -3.80922e-15 -1.49759e-15
0.00000 -2.16504e-01 8.91300e-01 -4.45650e-01 4.84781e+07 -5.24207e+07 2.62099e+07 2.63490e-15 -4.13252e-15 -1.49762e-15
0.00000 -1.64859e-01 8.38457e-01 -4.19230e-01 5.49889e+07 -5.29298e+07 2.64613e+07 2.97218e-15 -4.46981e-15 -1.49762e-15
0.00000 -1.06478e-01 7.86369e-01 -3.93194e-01 6.15425e+07 -5.07372e+07 2.53542e+07 3.19037e-15 -4.68781e-15 -1.49744e-15
0.00000 -4.27697e-02 7.37783e-01 -3.68921e-01 6.52584e+07 -4.62624e+07 2.31085e+07 3.15770e-15 -4.65542e-15 -1.49771e-15
0.00000 2.29127e-02 6.93755e-01 -3.46931e-01 6.56916e+07 -4.19602e+07 2.09559e+07 2.96747e-15 -4.46522e-15 -1.49775e-15
0.00000 8.80686e-02 6.53458e-01 -3.26806e-01 6.44547e+07 -3.88264e+07 1.93887e+07 2.75004e-15 -4.24777e-15 -1.49773e-15
0.00000 1.51628e-01 6.15770e-01 -3.07987e-01 6.26108e+07 -3.66874e+07 1.83189e+07 2.55138e-15 -4.04911e-15 -1.49773e-15
0.00000 2.13235e-01 5.79857e-01 -2.90056e-01 6.05903e+07 -3.52308e+07 1.75903e+07 2.37838e-15 -3.87610e-15 -1.49773e-15
0.00000 2.72804e-01 5.45157e-01 -2.72731e-01 5.85518e+07 -3.42308e+07 1.70900e+07 2.22822e-15 -3.72594e-15 -1.49773e-15
0.00000 3.30352e-01 5.11292e-01 -2.55824e-01 5.65517e+07 -3.35416e+07 1.67452e+07 2.09677e-15 -3.59450e-15 -1.49773e-15
0.00000 3.85926e-01 4.78002e-01 -2.39205e-01 5.46079e+07 -3.30688e+07 1.65086e+07 1.98043e-15 -3.47815e-15 -1.49773e-15
0.00000 4.39587e-01 4.45104e-01 -2.22781e-01 5.27233e+07 -3.27496e+07 1.63489e+07 1.87633e-15 -3.37406e-15 -1.49773e-15
0.00000 4.91392e-01 4.12467e-01 -2.06489e-01 5.08953e+07 -3.25408e+07 1.62444e+07 1.78231e-15 -3.28003e-15 -1.49773e-15
0.00000 5.41395e-01 3.79996e-01 -1.90279e-01 4.91195e+07 -3.24120e+07 1.61799e+07 1.69665e-15 -3.19438e-15 -1.49773e-15
0.00000 5.89647e-01 3.47623e-01 -1.74119e-01 4.73912e+07 -3.23409e+07 1.61443e+07 1.61805e-15 -3.11578e-15 -1.49773e-15
0.00000 6.36192e-01 3.15300e-01 -1.57984e-01 4.57058e+07 -3.23111e+07 1.61294e+07 1.54549e-15 -3.04322e-15 -1.49773e-15
0.00000 6.81071e-01 2.82992e-01 -1.41856e-01 4.40594e+07 -3.23101e+07 1.61288e+07 1.47814e-15 -2.97587e-15 -1.49773e-15
0.00000 7.24322e-01 2.50674e-01 -1.25723e-01 4.24486e+07 -3.23283e+07 1.61380e+07 1.41534e-15 -2.91307e-15 -1.49773e-15
0.00000 7.65979e-01 2.18331e-01 -1.09578e-01 4.08706e+07 -3.23583e+07 1.61530e+07 1.35656e-15 -2.85429e-15 -1.49773e-15
0.00000 8.06074e-01 1.85955e-01 -9.34159e-02 3.93230e+07 -3.23942e+07 1.61711e+07 1.30136e-15 -2.79909e-15 -1.49773e-15
0.00000 8.44635e-01 1.53542e-01 -7.72355e-02 3.78038e+07 -3.24315e+07 1.61898e+07 1.24937e-15 -2.74710e-15 -1.49773e-15
0.00000 8.81690e-01 1.21093e-01 -6.10367e-02 3.63113e+07 -3.24665e+07 1.62074e+07 1.20028e-15 -2.69801e-15 -1.49773e-15
0.00000 9.17266e-01 8.86108e-02 -4.48214e-02 3.48442e+07 -3.24964e+07 1.62225e+07 1.15384e-15 -2.65157e-15 -1.49773e-15
0.00000 9.51387e-01 5.61025e-02 -2.85929e-02 3.34012e+07 -3.25188e+07 1.62339e+07 1.10982e-15 -2.60755e-15 -1.49773e-15
0.00000 9.84076e-01 2.35763e-02 -1.23552e-02 3.19815e+07 -3.25319e+07 1.62406e+07 1.06803e-15 -2.56576e-15 -1.49773e-15
0.00000 1.01536e+00 -8.95779e-03 3.88661e-03 3.05842e+07 -3.25344e+07 1.62421e+07 1.02831e-15 -2.52604e-15 -1.49773e-15
0.00000 1.04525e+00 -4.14886e-02 2.01270e-02 2.92086e+07 -3.25252e+07 1.62377e+07 9.90506e-16 -2.48823e-15 -1.49773e-15
0.00000 1.07378e+00 -7.40041e-02 3.63599e-02 2.78540e+07 -3.25035e+07 1.62271e+07 9.54498e-16 -2.45223e-15 -1.49773e-15
0.00000 1.10097e+00 -1.06491e-01 5.25790e-02 2.65199e+07 -3.24686e+07 1.62099e+07 9.20172e-16 -2.41790e-15 -1.49773e-15
0.00000 1.12683e+00 -1.38937e-01 6.87774e-02 2.52059e+07 -3.24201e+07 1.61859e+07 8.87428e-16 -2.38516e-15 -1.49773e-15
0.00000 1.15138e+00 -1.71327e-01 8.49485e-02 2.39114e+07 -3.23578e+07 1.61550e+07 8.56176e-16 -2.35390e-15 -1.49773e-15
0.00000 1.17466e+00 -2.03648e-01 1.01085e-01 2.26360e+07 -3.22815e+07 1.61172e+07 8.26334e-16 -2.32406e-15 -1.49773e-15
0.00000 1.19666e+00 -2.35885e-01 1.17181e-01 2.13794e+07 -3.21912e+07 1.60723e+07 7.97831e-16 -2.29556e-15 -1.49773e-15
